Year,Geo_Level,State_ANSI,Commodity_ID,Value
2009,STATE,53,2,2728000.00
2009,STATE,54,2,185000.00
2009,STATE,55,2,3780000.00
2009,STATE,56,2,1776000.00
2008,STATE,1,2,594000.00
2008,STATE,4,2,1600000.00
2008,STATE,5,2,2100000.00
2008,STATE,6,2,18360000.00
2008,STATE,8,2,1215000.00
2008,STATE,12,2,11850000.00
2008,STATE,13,2,4615000.00
2008,STATE,15,2,900000.00
2008,STATE,16,2,3600000.00
2008,STATE,17,2,448000.00
2008,STATE,18,2,469000.00
2008,STATE,19,2,1488000.00
2008,STATE,20,2,610000.00
2008,STATE,21,2,156000.00
2008,STATE,22,2,3080000.00
2008,STATE,23,2,294000.00
2008,STATE,26,2,5183000.00
2008,STATE,27,2,9516000.00
2008,STATE,28,2,1372000.00
2008,STATE,29,2,583000.00
2008,STATE,30,2,9380000.00
2008,STATE,31,2,2412000.00
2008,STATE,32,2,290000.00
2008,STATE,34,2,360000.00
2008,STATE,35,2,288000.00
2008,STATE,36,2,3500000.00
2008,STATE,37,2,624000.00
2008,STATE,38,2,36000000.00
2008,STATE,39,2,742000.00
2008,STATE,41,2,2150000.00
2008,STATE,,2,817000.00
2008,STATE,42,2,1104000.00
2008,STATE,46,2,21375000.00
2008,STATE,47,2,427000.00
2008,STATE,48,2,4928000.00
2008,STATE,49,2,1344000.00
2008,STATE,50,2,330000.00
2008,STATE,51,2,252000.00
2008,STATE,53,2,2156000.00
2008,STATE,54,2,258000.00
2008,STATE,55,2,4640000.00
2008,STATE,56,2,2379000.00
2007,STATE,1,2,616000.00
2007,STATE,4,2,1920000.00
2007,STATE,5,2,2240000.00
2007,STATE,6,2,13600000.00
2007,STATE,8,2,1581000.00
2007,STATE,12,2,11360000.00
2007,STATE,13,2,3480000.00
2007,STATE,15,2,920000.00
2007,STATE,16,2,3772000.00
2007,STATE,17,2,567000.00
2007,STATE,18,2,424000.00
2007,STATE,19,2,2106000.00
2007,STATE,20,2,560000.00
2007,STATE,21,2,244000.00
2007,STATE,22,2,2581000.00
2007,STATE,23,2,234000.00
2007,STATE,26,2,4608000.00
2007,STATE,27,2,8840000.00
2007,STATE,28,2,1380000.00
2007,STATE,29,2,644000.00
2007,STATE,30,2,9180000.00
2007,STATE,31,2,2205000.00
2007,STATE,32,2,280000.00
2007,STATE,34,2,513000.00
2007,STATE,35,2,354000.00
2007,STATE,36,2,3021000.00
2007,STATE,37,2,540000.00
2007,STATE,38,2,31080000.00
2007,STATE,39,2,854000.00
2007,STATE,41,2,1978000.00
2007,STATE,,2,720000.00
2007,STATE,42,2,1050000.00
2007,STATE,46,2,13260000.00
2007,STATE,47,2,455000.00
2007,STATE,48,2,8610000.00
2007,STATE,49,2,1176000.00
2007,STATE,50,2,320000.00
2007,STATE,51,2,276000.00
2007,STATE,53,2,2024000.00
2007,STATE,54,2,288000.00
2007,STATE,55,2,5040000.00
2007,STATE,56,2,3440000.00
2006,STATE,1,2,792000.00
2006,STATE,4,2,1950000.00
2006,STATE,5,2,2432000.00
2006,STATE,6,2,19760000.00
2006,STATE,8,2,2700000.00
2006,STATE,12,2,13770000.00
2006,STATE,13,2,4662000.00
2006,STATE,15,2,930000.00
